Timestamp,Score
2023-03-21 12:18:05,50
2023-03-21 12:21:50,50
2023-03-21 12:45:23,193
2023-03-21 13:05:24,50
2023-03-21 13:06:19,50
2023-03-21 13:11:51,970
2023-03-21 13:17:09,870
2023-03-21 14:44:56,20
2023-03-21 14:49:36,20
2023-03-21 14:50:29,20
2023-03-21 14:50:58,20
2023-03-21 15:09:15,186
2023-03-21 15:09:43,9
2023-03-21 15:10:01,9
2023-03-21 15:10:17,9
2023-03-21 15:11:14,9
2023-03-21 15:13:27,9
2023-03-21 15:13:40,9
2023-03-21 15:17:09,853
2023-03-21 15:22:58,257
2023-03-21 15:25:12,252
2023-03-21 15:25:45,46
2023-03-21 15:37:36,340
2023-03-21 19:53:17,466
2023-03-21 19:54:12,232
2023-03-21 19:54:18,19
2023-03-21 19:54:23,12
2023-03-21 19:54:35,95
2023-03-21 19:56:52,570
2023-03-21 19:57:29,313
2023-03-21 19:57:34,18
2023-03-21 20:00:20,255
2023-03-21 20:02:01,664
2023-03-21 20:02:53,385
2023-03-21 22:26:19,428
2023-03-21 22:27:33,451
2023-03-21 22:32:10,42
2023-03-21 22:33:49,975
2023-03-21 22:35:11,74
2023-03-21 22:41:45,330
2023-03-21 23:21:33,204
2023-03-22 12:17:48,881
2023-03-22 13:29:55,58
2023-03-22 13:30:21,196
2023-03-22 13:30:28,8
2023-03-22 13:30:30,3
2023-03-22 13:30:33,1
2023-03-22 13:30:34,0
2023-03-22 13:30:35,0
2023-03-22 13:30:36,2
2023-03-22 13:30:38,0
2023-03-22 13:30:39,0
2023-03-22 13:30:50,107
2023-03-22 13:31:16,245
2023-03-22 13:31:28,60
2023-03-22 13:35:43,2539
2023-03-22 18:49:25,521
2023-03-22 18:49:37,24
2023-03-22 18:50:41,32
2023-03-22 18:51:04,205
2023-03-22 18:51:07,5
2023-03-22 18:51:11,8
2023-03-22 18:51:23,117
2023-03-22 18:52:17,3
2023-03-22 18:52:54,348
2023-03-22 18:54:06,615
2023-03-22 19:30:28,698
2023-03-22 19:30:31,3
2023-03-22 19:30:40,88
2023-03-23 11:04:23,104
2023-03-23 11:24:47,178
2023-03-23 11:31:34,73
2023-03-23 11:31:37,6
2023-03-23 11:31:38,4
2023-03-23 11:31:57,174
2023-03-23 11:51:40,116
2023-03-23 11:52:31,107
2023-03-23 11:52:38,38
2023-03-23 11:55:39,110
2023-03-23 11:56:24,168
2023-03-23 11:56:44,157
2023-03-23 21:24:23,232
2023-03-23 21:24:40,15
2023-03-23 21:25:37,550
2023-03-23 21:25:39,4
2023-03-23 21:25:43,3
2023-03-23 21:25:45,2
2023-03-23 21:25:45,2
2023-03-23 21:25:46,4
2023-03-23 21:25:46,0
2023-03-23 21:26:01,139
2023-03-23 21:26:33,210
2023-03-23 21:26:37,17
2023-03-23 21:27:43,417
2023-03-23 21:28:27,429
2023-03-24 22:26:09,56
